TIME:       0.0210 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0220 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0220 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0230 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0230 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0240 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0240 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0250 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0250 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0260 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0260 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0270 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0270 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0280 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0280 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0290 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0290 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0300 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0300 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:   1.5708 |  AGHW:   1.5708
TIME:       0.0310 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0310 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:   0.0000 |  AGHW:   0.0000
TIME:       0.0320 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0320 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0330 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:   0.0000 |  AGHW:   0.0000
TIME:       0.0330 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:   0.0000 |  AGHW:   0.0000
TIME:       0.0340 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:   0.0001 |  AGHW:   0.0001
TIME:       0.0340 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0350 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0350 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0360 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0360 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0370 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0370 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0380 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0380 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0390 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0390 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0400 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0400 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0410 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0410 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0420 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0420 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0430 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0430 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0440 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0440 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:   1.5708 |  AGHW:   1.5708
TIME:       0.0450 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0450 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:   0.0000 |  AGHW:   0.0000
