        AOA          AOAHT        ELEV         ETAB         DYNP        FXHT         FZHT         MYHT         FXE          FZE          MYE          FXWB         FZWB         MYWB         FXTAB        FZTAB        MYTAB        
     -19.543      -13.441       -6.661        7.512         4604  -6.8193e+03  -2.8618e+04   2.5488e+05  -1.8685e+03  -7.8182e+03   6.9608e+04  -6.4698e+04  -2.9658e+05  -5.7368e+04   1.2591e+02   3.5472e+02  -2.9907e+03
     -19.543      -13.437       -6.661        7.512         4604  -6.8175e+03  -2.8611e+04   2.5481e+05  -1.8685e+03  -7.8182e+03   6.9608e+04  -6.4688e+04  -2.9652e+05  -5.7362e+04   1.2591e+02   3.5471e+02  -2.9907e+03
     -19.543      -13.170       -6.661        7.509         4604  -6.6820e+03  -2.8042e+04   2.4975e+05  -1.8685e+03  -7.8182e+03   6.9608e+04  -6.3973e+04  -2.9182e+05  -5.6897e+04   1.2586e+02   3.5457e+02  -2.9895e+03
     -19.545       32.365       -6.661        6.993         4604   1.6421e+04   6.8912e+04  -6.1374e+05  -1.8687e+03  -7.8182e+03   6.9606e+04   2.2760e+05   4.4930e+05   2.1987e+05   1.1722e+02   3.3020e+02  -2.7840e+03
     -19.545      -13.442       -6.661        7.512         4604  -6.8208e+03  -2.8621e+04   2.5490e+05  -1.8687e+03  -7.8182e+03   6.9606e+04  -6.4715e+04  -2.9662e+05  -5.7385e+04   1.2592e+02   3.5471e+02  -2.9906e+03
     -19.545      -13.439       -6.661        7.512         4604  -6.8190e+03  -2.8614e+04   2.5484e+05  -1.8687e+03  -7.8182e+03   6.9606e+04  -6.4705e+04  -2.9655e+05  -5.7379e+04   1.2592e+02   3.5471e+02  -2.9906e+03
     -19.545      -13.172       -6.661        7.509         4604  -6.6835e+03  -2.8045e+04   2.4977e+05  -1.8687e+03  -7.8182e+03   6.9606e+04  -6.3990e+04  -2.9186e+05  -5.6913e+04   1.2587e+02   3.5457e+02  -2.9894e+03
     -19.547       32.363       -6.661        6.993         4604   1.6422e+04   6.8908e+04  -6.1370e+05  -1.8689e+03  -7.8181e+03   6.9605e+04   2.2760e+05   4.4926e+05   2.1986e+05   1.1723e+02   3.3020e+02  -2.7839e+03
     -19.547      -13.444       -6.661        7.512         4604  -6.8223e+03  -2.8624e+04   2.5493e+05  -1.8689e+03  -7.8181e+03   6.9605e+04  -6.4732e+04  -2.9665e+05  -5.7401e+04   1.2594e+02   3.5471e+02  -2.9905e+03
     -19.547      -13.440       -6.661        7.512         4604  -6.8205e+03  -2.8617e+04   2.5486e+05  -1.8689e+03  -7.8181e+03   6.9605e+04  -6.4723e+04  -2.9659e+05  -5.7395e+04   1.2593e+02   3.5471e+02  -2.9905e+03
     -19.547      -13.173       -6.661        7.509         4604  -6.6850e+03  -2.8048e+04   2.4980e+05  -1.8689e+03  -7.8181e+03   6.9605e+04  -6.4007e+04  -2.9189e+05  -5.6930e+04   1.2588e+02   3.5456e+02  -2.9893e+03
     -19.549       32.362       -6.661        6.993         4604   1.6423e+04   6.8904e+04  -6.1366e+05  -1.8691e+03  -7.8181e+03   6.9604e+04   2.2759e+05   4.4922e+05   2.1986e+05   1.1725e+02   3.3019e+02  -2.7838e+03
     -19.549      -13.445       -6.661        7.512         4604  -6.8238e+03  -2.8627e+04   2.5495e+05  -1.8691e+03  -7.8181e+03   6.9604e+04  -6.4749e+04  -2.9669e+05  -5.7418e+04   1.2595e+02   3.5470e+02  -2.9904e+03
     -19.549      -13.442       -6.661        7.512         4604  -6.8220e+03  -2.8620e+04   2.5488e+05  -1.8691e+03  -7.8181e+03   6.9604e+04  -6.4740e+04  -2.9663e+05  -5.7412e+04   1.2595e+02   3.5470e+02  -2.9904e+03
     -19.549      -13.175       -6.661        7.509         4604  -6.6865e+03  -2.8051e+04   2.4982e+05  -1.8691e+03  -7.8181e+03   6.9604e+04  -6.4024e+04  -2.9193e+05  -5.6946e+04   1.2590e+02   3.5456e+02  -2.9892e+03
     -19.551       32.360       -6.661        6.993         4604   1.6424e+04   6.8901e+04  -6.1362e+05  -1.8693e+03  -7.8180e+03   6.9602e+04   2.2759e+05   4.4918e+05   2.1986e+05   1.1726e+02   3.3019e+02  -2.7837e+03
     -19.551      -13.447       -6.661        7.512         4604  -6.8253e+03  -2.8630e+04   2.5498e+05  -1.8693e+03  -7.8180e+03   6.9602e+04  -6.4766e+04  -2.9672e+05  -5.7434e+04   1.2596e+02   3.5470e+02  -2.9903e+03
     -19.551      -13.443       -6.661        7.512         4604  -6.8235e+03  -2.8623e+04   2.5491e+05  -1.8693e+03  -7.8180e+03   6.9602e+04  -6.4757e+04  -2.9666e+05  -5.7428e+04   1.2596e+02   3.5470e+02  -2.9903e+03
     -19.551      -13.176       -6.661        7.509         4604  -6.6880e+03  -2.8054e+04   2.4984e+05  -1.8693e+03  -7.8180e+03   6.9602e+04  -6.4041e+04  -2.9196e+05  -5.6963e+04   1.2591e+02   3.5455e+02  -2.9891e+03
     -19.553      -59.256       -6.661        8.031         4604  -3.0080e+04  -1.2617e+05   1.1236e+06  -1.8695e+03  -7.8180e+03   6.9601e+04  -1.5993e+04  -1.1639e+06   6.2427e+04   1.3468e+02   3.7921e+02  -3.1969e+03
     -19.553      -13.448       -6.661        7.512         4604  -6.8268e+03  -2.8633e+04   2.5500e+05  -1.8695e+03  -7.8180e+03   6.9601e+04  -6.4783e+04  -2.9676e+05  -5.7451e+04   1.2598e+02   3.5470e+02  -2.9902e+03
     -19.553      -13.450       -6.661        7.512         4604  -6.8279e+03  -2.8638e+04   2.5504e+05  -1.8695e+03  -7.8180e+03   6.9601e+04  -6.4789e+04  -2.9680e+05  -5.7455e+04   1.2598e+02   3.5470e+02  -2.9903e+03
     -19.553      -13.716       -6.661        7.515         4604  -6.9628e+03  -2.9204e+04   2.6008e+05  -1.8695e+03  -7.8180e+03   6.9601e+04  -6.5489e+04  -3.0148e+05  -5.7904e+04   1.2603e+02   3.5484e+02  -2.9915e+03
     -19.556       32.357       -6.661        6.993         4604   1.6427e+04   6.8893e+04  -6.1354e+05  -1.8698e+03  -7.8179e+03   6.9600e+04   2.2758e+05   4.4910e+05   2.1985e+05   1.1728e+02   3.3018e+02  -2.7835e+03
     -19.556      -13.452       -6.661        7.512         4604  -6.8293e+03  -2.8640e+04   2.5506e+05  -1.8698e+03  -7.8179e+03   6.9600e+04  -6.4805e+04  -2.9683e+05  -5.7471e+04   1.2599e+02   3.5469e+02  -2.9902e+03
     -19.556      -13.452       -6.661        7.512         4604  -6.8294e+03  -2.8641e+04   2.5506e+05  -1.8698e+03  -7.8179e+03   6.9600e+04  -6.4806e+04  -2.9683e+05  -5.7471e+04   1.2599e+02   3.5469e+02  -2.9902e+03
